ReacID,ReacName,SecretionSense,vmax,ks,inhibited,MassBalance,finalFlux,finalFluxLimit
721,EX_ocdca(e),1,0.169283,0.01,0,-1.57047999858783e-18,0,0
722,EX_orn(e),1,1,0.01,0,-0.00958302953922281,0,0
725,EX_phe_L(e),1,1,0.01,0,0.00125410179692997,-1.06268767971235e-05,0
726,EX_pi(e),1,1,0.01,0,-0.0046008226806932,0,0
727,EX_pnto_R(e),1,1,0.01,0,-9.38008217676139e-05,-9.19246030787044e-07,0
731,EX_pro_L(e),1,0.18,0.01,0,-0.00129367006774973,-1.26791541227532e-05,0
732,EX_ptrc(e),1,1,0.01,0,0.00959804698408651,0,0
733,EX_pydam(e),1,1,0.01,0,0,0,0
734,EX_pydx(e),1,1,0.01,0,-4.69004108838125e-05,-4.59623015393531e-07,0
735,EX_pydxn(e),1,1,0.01,0,0,0,0
736,EX_rib_D(e),1,0.178783,0.01,0,-0.00210437113621778,0,0
737,EX_rmn(e),1,0.148986,0.01,0,-0.00242193843631731,0,0
740,EX_sel(e),1,1,0.01,0,-0.00999932558113701,-6.88978509862978e-05,-1
743,EX_ser_L(e),1,1,0.01,0,-0.00241922902172174,-7.82407126287531e-06,-1
744,EX_so4(e),1,1,0.01,0,-4.69004108838125e-05,-4.59623015393531e-07,0
745,EX_spmd(e),1,1,0.01,0,0,0,0
746,EX_succ(e),1,1,0.01,0,-0.0161569582906566,1.51421425731024e-05,0
747,EX_sucr(e),1,0.074493,0.01,0,0,0,0
750,EX_thm(e),1,1,0.01,0,-1.98764475770958e-36,0,0
751,EX_thr_L(e),1,0.225,0.01,0,-0.00227227082780881,-4.95824787202961e-05,0
752,EX_thymd(e),1,1,0.01,0,-3.32543626007705e-06,-6.91370855869569e-07,0
755,EX_tre(e),1,0.074493,0.01,0,-0.00171133277181197,0,0
756,EX_trp_L(e),1,0.08182,0.01,0,-0.0016153637489469,-3.24627073271455e-06,0
758,EX_ttdca(e),1,0.068676,0.01,0,0.000136901807315182,0,0
760,EX_tyr_L(e),1,1,0.01,0,-0.00285248325305795,-5.37043373670259e-07,0
761,EX_ura(e),1,1,0.01,0,0,0,0
763,EX_uri(e),1,1,0.01,0,-3.4559368211055e-05,0,0
764,EX_val_L(e),1,0.18,0.01,0,-0.00215584567314764,-2.42247590257866e-05,0
765,EX_xan(e),1,1,0.01,0,0,0,0
767,EX_xyl_D(e),1,0.178783,0.01,0,-0.00244898556350652,0,0
768,EX_zn2(e),1,1,0.01,0,-4.69004108838125e-05,-4.59623015393531e-07,0
