ReacID,ReacName,SecretionSense,MassBalance,finalFlux,finalFluxLimit
607,EX_cbl1(e),1,0,0,0
608,EX_cbl2(e),0,0,0,0
609,EX_cd2(e),0,0,0,0
610,EX_cgly(e),1,-0.00267182853331987,0,0
611,EX_chol(e),1,0,0,0
612,EX_cinnm(e),0,0,0,0
613,EX_cit(e),1,-0.00567315296234898,-1.60613886038895e-05,-1
614,EX_cl(e),1,-4.69004108838125e-05,-4.59623015393531e-07,0
615,EX_co2(e),0,0.0540820095720841,0.00191495027531531,0
616,EX_cobalt2(e),1,-4.69004108838125e-05,-4.59623015393531e-07,0
617,EX_crn(e),0,0,0,0
618,EX_csn(e),1,0,0,0
619,EX_ctbt(e),0,0,0,0
620,EX_cu2(e),1,-4.69004108838125e-05,-4.59623015393531e-07,0
621,EX_cynt(e),0,0,0,0
622,EX_cys_L(e),1,-0.00879848450988668,-6.15617279977268e-06,0
623,EX_cytd(e),1,-0.00171345265612374,-8.33547120151864e-06,0
624,EX_dad_2(e),1,0.00519395469895557,-1.30007383873715e-05,0
625,EX_dcyt(e),1,-1.21814081487271e-05,-8.25560483126112e-06,0
626,EX_ddca(e),1,-2.50970672474027e-25,0,0
627,EX_dgsn(e),1,-8.29783572888264e-05,-1.39172182284739e-05,0
628,EX_dhcinnm(e),0,0,0,0
629,EX_dhpppn(e),0,0,0,0
630,EX_din(e),0,0,0,0
631,EX_dms(e),0,0,0,0
632,EX_dmso(e),0,0,0,0
633,EX_drib(e),1,-0.0026404784642478,0,0
634,EX_duri(e),0,0,0,0
635,EX_etha(e),0,0,0,0
636,EX_ethso3(e),0,0,0,0
637,EX_etoh(e),1,-0.0122639899067598,0,0
638,EX_fe2(e),1,-4.69004108838125e-05,-4.59623015393531e-07,0
639,EX_fe3(e),1,-4.69004108838125e-05,-4.59623015393531e-07,0
640,EX_fecrm(e),0,0,0,0
641,EX_for(e),1,0.100658298316201,0.000289311849209562,0
642,EX_fru(e),1,-0.00183941324719484,7.60245120138154e-34,0
643,EX_fuc1p_L(e),0,0,0,0
